1.1	Gastrulação transforma disco bilaminar (epiblasto/hipoblasto) em trilaminar (ecto/meso/endo); todos os 3 folhetos vêm do epiblasto; hipoblasto vira extraembrionário	gastrulation|epiblast|hypoblast|bilaminar disc|trilaminar|germ layers|morphogenesis
1.2	Linha primitiva: sulco no epiblasto (dia 15) que define eixo crânio-caudal e simetria bilateral; nó primitivo é o organizador, fonte da notocorda	primitive streak|primitive node|Hensen node|organizer|craniocaudal axis|bilateral symmetry
1.3	Ingressão via EMT: célula epitelial perde junções e vira mesenquimal migratória; destino do folheto definido pela posição final	epithelial mesenchymal transition|EMT|ingression|epiblast migration|cell fate position
1.3d	Derivados dos folhetos: ectoderma (epiderme + SN), endoderma (revestimento digestório/respiratório, fígado, pâncreas), mesoderma (músculo, osso, sangue, rim, gônada)	ectoderm derivatives|endoderm derivatives|mesoderm derivatives|germ layer derivatives
1.3b	Confusão hipoblasto ≠ endoderma: o endoderma vem do epiblasto que desloca o hipoblasto; hipoblasto vira vesícula vitelínica	hypoblast|endoderm origin|yolk sac
1.4	Notocorda: mesoderma axial na linha média; 3 funções — eixo rígido, núcleo pulposo do disco intervertebral, indutor da placa neural	notochord|axial mesoderm|nucleus pulposus|notochord induction|intervertebral disc
2.1	Indução neural: notocorda sinaliza e converte o ectoderma sobrejacente em placa neural (dia 18) → neuroectoderma → SNC	neural induction|neural plate|neuroectoderm|notochord signaling|embryonic induction
2.2	Da placa ao tubo: pregas neurais elevam, sulco neural, fusão → tubo neural; fecha do meio para as pontas; neuroporos rostral (d25) e caudal (d28)	neurulation|neural folds|neural groove|neural tube|neuropore|rostral neuropore|caudal neuropore
2.3	Defeitos do tubo neural + folato: neuroporo rostral falha → anencefalia; caudal → espinha bífida; folato para síntese de DNA; suplementação periconcepcional	neural tube defect|anencephaly|spina bifida|folic acid|folate|periconceptional|AFP
2.4	Crista neural: 4º folheto, nova EMT, migra em 4 contingentes; derivados — face/cartilagem/ossos, ossículos, melanócitos, gânglios SNP, medula adrenal	neural crest|neural crest cells|neural crest derivatives|melanocytes|dorsal root ganglia|adrenal medulla|branchial arch
3.1a	Mesoderma paraxial → somitos → vértebra, costela, músculo esquelético e derme do dorso	paraxial mesoderm|somite|sclerotome|myotome|dermatome|vertebra
3.1b	Mesoderma intermediário → sistema urinário (rins) e genital (gônadas)	intermediate mesoderm|kidney|urogenital|gonad
3.1c	Mesoderma lateral → somática/visceral, celoma (pleura/pericárdio/peritônio), cardiovascular e hematopoiético	lateral plate mesoderm|somatic|splanchnic|coelom|serous membrane|cardiovascular|hematopoietic
3.2	Dobramento céfalo-caudal: crescimento desigual + cavidade amniótica empurram; pregas cranial/caudal curvam ventralmente → forma de C	craniocaudal folding|head fold|tail fold|embryonic folding|amniotic cavity
3.3	Dobramento lateral: pregas laterais fecham o ventre e enrolam o endoderma no tubo intestinal primitivo	lateral folding|primitive gut|gut tube|body wall closure|foregut midgut hindgut
3.3c	Membranas sem mesoderma: bucofaríngea (placa precordal) → boca; cloacal → ânus; pontos frágeis que se rompem	buccopharyngeal membrane|oropharyngeal membrane|cloacal membrane|prechordal plate
