1.1	Origem migrante dos gametas: PGC surgem em região extragonadal e migram até a crista genital (4ª-7ª sem); o ambiente da gônada define ovo/espermatogênese	células germinativas primordiais|primordial germ cells|PGC|germ cell migration|genital ridge
1.2	Meiose reduz e embaralha: meiose I é reducional (separa homólogos), meiose II é equacional (separa cromátides); uma só replicação antes das duas	meiose|meiosis|meiosis I|meiosis II|reductional division|equational|homologous chromosomes|ploidy
1.2b	Crossing-over ocorre no paquíteno da prófase I e gera diversidade; distribuição aleatória dos homólogos soma-se	crossing-over|recombination|pachytene|synapsis|prophase I|synaptonemal
1.3	Ovogênese e as duas paradas meióticas: diplóteno (5º mês fetal→puberdade) e metáfase II (ovulação→fecundação)	ovogênese|oogenesis|primary oocyte|diplotene|metaphase II arrest|meiotic arrest|secondary oocyte
1.3b	Divisão assimétrica do citoplasma na ovogênese gera corpúsculo polar; estoque finito de ovócitos e atresia	polar body|asymmetric division|follicular atresia|ovarian reserve|oocyte number
1.4a	Envoltórios do ovócito: corona radiata e zona pelúcida (ZP1/ZP2/ZP3); ZP3 é receptor/gatilho, ZP2 guia	zona pellucida|ZP3|ZP2|ZP1|corona radiata|sperm receptor
1.4b	Grânulos corticais: vesículas pré-carregadas no córtex do ovócito, munição do bloqueio à polispermia	cortical granules|cortical vesicles
2.1	Espermatogênese contínua: espermatogônia (tronco 2N)→espermatócito I→meiose→4 espermátides; divisão simétrica, sem parada	spermatogenesis|spermatogonia|primary spermatocyte|spermatid|continuous
2.2	Espermiogênese: condensa núcleo com protaminas (expulsa água/RNA), monta acrossoma do Golgi, mitocôndrias na peça intermediária, forma flagelo	spermiogenesis|protamine|acrosome formation|flagellum|midpiece|Golgi
2.3	Arquitetura do espermatozoide: 3 bicamadas na cabeça (plasmática + externa/interna do acrossoma); mitocôndrias→ATP do flagelo	sperm structure|acrosome|midpiece mitochondria|sperm ATP|flagellum motor
2.4	Capacitação: maturação no trato feminino (7-12h) que remove colesterol → membrana fluida; ≠ motilidade (epidídimo) ≠ reação acrossômica	capacitation|epididymis|sperm motility|cholesterol removal|membrane fluidity
3.1	Encontro: hialuronidase afrouxa a corona radiata (acrossoma ainda intacto); ligação à ZP3 é o gatilho	hyaluronidase|corona penetration|ZP3 binding
3.2	Reação acrossômica: ligação ZP3→influxo de cálcio→fusão da plasmática com externa do acrossoma→libera acrosina→canal pontual; expõe membrana interna→ZP2	acrosome reaction|acrosin|calcium influx|zona penetration|inner acrosomal membrane
3.3a	Bloqueio à polispermia é obra do ovócito: fusão→onda de cálcio→reação cortical (grânulos) cliva ZP2/altera ZP3; bloqueio elétrico rápido	cortical reaction|polyspermy block|zona reaction|membrane depolarization|fast block
3.3b	Falha do bloqueio → zigoto triploide (69 cromossomos), inviável	triploidy|polyspermy|69 chromosomes|dispermy
3.4	Singamia: completa meiose II (2º corpúsculo polar); pró-núcleos (N=23) replicam DNA; genomas só se misturam na 1ª mitose (46 no fuso)	pronucleus|syngamy|second polar body|male pronucleus|female pronucleus
3.5a	Clivagem: divide sem crescer dentro da zona (blastômeros); 72h mórula; compactação e cavitação → blastocele	cleavage|blastomere|morula|compaction|cavitation|blastocele
3.5b	Blastocisto: massa celular interna (embrião) vs trofoectoderme (placenta), mesmo genoma; destino por posição; eclosão da zona antes de implantar	blastocyst|inner cell mass|trophectoderm|trophoblast|hatching|cell fate
