id,entrada_canonica,variantes,grafias_alternativas,tipo_de_entrada,tipo_morfologico,origem,forma_original,transliteracao,significado_nuclear,significados_contextuais,significado_literal,definicao_medica,categoria_semantica,sistema,subarea,disciplinas,produtividade,frequencia_curricular,transferibilidade,risco_de_confusao,prioridade,nivel,exemplos,termos_de_inferencia,contrastes,sinonimos,falsos_amigos,equivalente_grego,equivalente_latino,equivalente_ingles,explicacao_leiga,limites_etimologicos,fonte,confianca,status_validacao,destino_pedagogico,nota_que_cobre,gera_card,direcao_do_card,numero_de_cards,conceito_complementar,id_anki,tags,observacoes
etim-v2-pre-a-an,a-/an-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,ausência ou negação,,ausência ou negação,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,anóxia,,,,,,,,ausência ou negação,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-a-an,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-a-an;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ab,ab-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,afastamento,,afastamento,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,abdução,,,,,,,,afastamento,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ab,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ab;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ad,ad-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,aproximação,,aproximação,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,adução,,,,,,,,aproximação,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ad,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ad;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ante,ante-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,antes,,antes,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,antebraço,,,,,,,,antes,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ante,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ante;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-anti,anti-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,oposição,,oposição,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,antisséptico,,,,,,,,oposição,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-anti,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-anti;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-apo,apo-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,afastamento ou derivação,,afastamento ou derivação,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,apócrino,,,,,,,,afastamento ou derivação,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-apo,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-apo;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-circum,circum-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,ao redor,,ao redor,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,circuncisão,,,,,,,,ao redor,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-circum,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-circum;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-cis,cis-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,deste lado,,deste lado,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,cisgênero,,,,,,,,deste lado,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-cis,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-cis;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-contra,contra-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,oposição,,oposição,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,contralateral,,,,,,,,oposição,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-contra,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-contra;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-de,de-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,retirada ou redução,,retirada ou redução,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,desaminação,,,,,,,,retirada ou redução,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-de,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-de;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-dia,dia-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,através,,através,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,diálise,,,,,,,,através,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-dia,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-dia;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-dis,dis-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,separação ou negação,,separação ou negação,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,disjunção,,,,,,,,separação ou negação,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-dis,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-dis;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-dis-dys,dis-/dys-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,alteração ou dificuldade,,alteração ou dificuldade,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,disfagia,,,,,,,,alteração ou dificuldade,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-dis-dys,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-dis-dys;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ecto,ecto-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,externo,,externo,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,ectoderma,,,,,,,,externo,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ecto,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ecto;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-endo,endo-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,interno,,interno,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,endocárdio,,,,,,,,interno,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-endo,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-endo;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-epi,epi-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,sobre,,sobre,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,epiderme,,,,,,,,sobre,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-epi,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-epi;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ex,ex-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,para fora,,para fora,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,excreção,,,,,,,,para fora,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ex,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ex;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-exo,exo-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,externo,,externo,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,exocitose,,,,,,,,externo,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-exo,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-exo;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-extra,extra-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,fora,,fora,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,extracelular,,,,,,,,fora,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-extra,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-extra;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-infra,infra-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,abaixo,,abaixo,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,infrapatelar,,,,,,,,abaixo,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-infra,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-infra;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-inter,inter-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,entre,,entre,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,intercostal,,,,,,,,entre,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-inter,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-inter;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-intra,intra-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,dentro,,dentro,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,intracelular,,,,,,,,dentro,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-intra,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-intra;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-ipsi,ipsi-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,mesmo lado,,mesmo lado,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,ipsilateral,,,,,,,,mesmo lado,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-ipsi,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-ipsi;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-justa-juxta,justa-/juxta-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,junto a,,junto a,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,justaglomerular,,,,,,,,junto a,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-justa-juxta,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-justa-juxta;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-meta,meta-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,mudança ou além,,mudança ou além,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,metaplasia,,,,,,,,mudança ou além,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-meta,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-meta;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-meso,meso-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,meio,,meio,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,mesoderma,,,,,,,,meio,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-meso,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-meso;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-para,para-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,ao lado ou anormal,,ao lado ou anormal,,prefixo,transversal,,transversal,3,3,2,1,25,nucleo,paratireoide,,,,,,,,ao lado ou anormal,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-para,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-para;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
etim-v2-pre-peri,peri-,,,morfema,prefixo,greco-latina; confirmar étimo apenas quando necessário,,,ao redor,,ao redor,,prefixo,transversal,,transversal,3,3,2,0,23,nucleo,pericárdio,,,,,,,,ao redor,A forma sugere sentido; não fecha diagnóstico.,"OpenRN Medical Terminology 2e, cap. 1, NCBI Bookshelf NBK607453 (CC BY 4.0); OpenRN Medical Terminology 2e, NCBI Bookshelf NBK607454 (CC BY 4.0); Prompt mestre do usuário, corpus-base de terminologia médica, 2026-07-17",alta,candidato_validado_automaticamente,card_proprio,etim-v2-pre-peri,sim,reconhecimento,1,,,etim_uid::etim-v2-pre-peri;terminologia::nivel::nucleo;terminologia::tipo::prefixo,Texto PT-BR; forma citada preservada.
