1.1	Três destinos da G6P: glicogênio (reserva), glicólise (energia) ou via das pentoses (construção) — a via NÃO gera ATP	pentose_phosphate|HMP_shunt|glucose_6_phosphate|G6P|hexose_monophosphate
1.2	Dois produtos da via: NADPH (poder redutor para construção/defesa) e ribose-5-fosfato (esqueleto de nucleotídeos); sem saldo líquido de ATP	NADPH|ribose_5_phosphate|pentose_phosphate|nucleotide_synthesis|ribose
1.3	NADPH ≠ NADH: fosfato extra é etiqueta; NADH alimenta cadeia respiratória (catabolismo); NADPH constrói e protege (anabolismo)	NADPH|NADH|reducing_power|cofactor|coenzyme
1.4	Onde/quando: citosol; ~20% da glicose; ativo em fígado/tecido adiposo/glândula mamária/córtex adrenal/hemácia; hemácia = única fonte de NADPH	pentose_phosphate_pathway|liver|adipose|adrenal_cortex|red_blood_cell|erythrocyte
2.1	Duas fases: OXIDATIVA (irreversível, gera NADPH + CO2 + ribose) e NÃO-OXIDATIVA (reversível, rearranja açúcares, sem NADPH)	oxidative_phase|non_oxidative_phase|HMP_shunt|pentose_phosphate|irreversible|reversible
2.2	Fase oxidativa: G6PD (passo controlador, passo 1, irreversível) → 6-fosfogliconato desidrogenase (descarboxila, libera CO2, gera 2º NADPH) → ribulose-5-P; saldo: 2 NADPH + 1 CO2 + pentose	G6PD|glucose_6_phosphate_dehydrogenase|6_phosphogluconate|ribulose_5_phosphate|oxidative_phase|NADPH|dehydrogenase
2.3	Fase não-oxidativa: transcetolase (transfere 2C) + transaldolase (transfere 3C) interconvertem pentoses em F6P e G3P (intermediários da glicólise); reversível	transketolase|transaldolase|non_oxidative|fructose_6_phosphate|glyceraldehyde_3_phosphate|pentose
2.4	Quatro cenários de demanda: só ribose (só não-oxidativa), NADPH=ribose (oxidativa), muito NADPH/pouca ribose (oxidativa+reciclagem), NADPH+ATP (oxidativa+glicólise)	HMP_shunt|NADPH|ribose|demand|pentose_phosphate|lipogenesis
2.5	Regulação da via: G6PD inibida por NADPH (inibição por produto), ativada por NADP+; razão NADPH/NADP+ é o sensor ("termostato")	G6PD_regulation|NADPH_inhibition|product_inhibition|NADP|rate_limiting|regulation
3.1	Radicais livres: cascata ERO (O2→superóxido→H2O2→radical hidroxila); ~0,2% O2 vira superóxido; reação de Fenton (H2O2 + Fe2+ → hidroxila); superóxido dismutase e catalase	reactive_oxygen_species|ROS|superoxide|hydrogen_peroxide|hydroxyl_radical|Fenton|superoxide_dismutase|catalase|free_radical
3.2	Glutationa: GSH doa elétrons ao H2O2 (via glutationa peroxidase) → forma GSSG; glutationa redutase regenera 2 GSH gastando NADPH; circuito G6PD→NADPH→glutationa→ERO neutralizada	glutathione|GSH|GSSG|glutathione_reductase|glutathione_peroxidase|NADPH|antioxidant
3.3	Hemácia no fio da navalha: sem mitocôndria (única fonte de NADPH = via das pentoses), sem reposição de enzimas; NADPH mantém ferro como Fe2+; falha → corpos de Heinz → hemólise	red_blood_cell|erythrocyte|Heinz_bodies|hemolysis|oxidative_hemolysis|RBC|NADPH|hemoglobin
3.4	Deficiência de G6PD: enzimopatia mais comum (~400M); hemólise desencadeada por oxidante (primaquina, sulfas, infecção, favas); ligada ao X; resistência à malária (Plasmodium falciparum)	G6PD_deficiency|favism|primaquine|hemolytic_anemia|X_linked|malaria_resistance|Plasmodium|oxidant
