# checklist-alvo semeada da E1 (consolidada + termos EN para o AnKing)
# formato: <id>\t<frase-alvo>\t<termo_pt|termo_en>
# PARTE I — Gastrulação
1.1	Três folhetos germinativos derivam do epiblasto	folhetos germinativos epiblasto|germ layers epiblast
1.2	Disco bilaminar (epiblasto/hipoblasto)	disco bilaminar|bilaminar disc epiblast hypoblast
1.3	Linha primitiva e nó primitivo (ingressão)	linha primitiva nó primitivo|primitive streak primitive node
1.4	EMT — transição epitélio-mesenquimal	transição epitélio mesenquimal|epithelial mesenchymal transition
1.5	Notocorda: eixo e indutor; núcleo pulposo	notocorda|notochord notochordal process
# PARTE II — Neurulação
2.1	Indução neural e placa neural	placa neural indução|neural plate neural induction
2.2	Fechamento do tubo neural e neuroporos	tubo neural neuroporo|neural tube closure neuropore
2.3	Defeitos do tubo neural e ácido fólico	defeito tubo neural folato|neural tube defect folic acid spina bifida anencephaly
2.4	Crista neural e seus derivados	crista neural|neural crest cells
# PARTE III — Mesoderma e dobramento
3.1	Derivados do mesoderma (paraxial/intermediário/lateral); somitos	mesoderma somito|paraxial intermediate lateral mesoderm somite
3.2	Dobramento do corpo (céfalo-caudal e lateral)	dobramento embrionário|embryonic folding cephalocaudal lateral
3.3	Tubo digestório; membranas bucofaríngea/cloacal	tubo digestório membrana|primitive gut buccopharyngeal cloacal membrane
