# checklist-alvo (refinada a mao a partir da E1) — biomol-25-mutacao-reparo-recombinacao
# formato: <id>\t<frase-alvo>\t<termo_pt|termo_en>
# PARTE I — Mutação: o que muda e por que aparece
1.1	Tipos de mutação: silenciosa, missense, nonsense, frameshift	tipos de mutação|silent missense nonsense mutation types
1.2	Transição vs transversão	transição transversão|transition transversion
1.3	Inserção/deleção e frameshift	frameshift|frameshift insertion deletion
1.4	Mutação espontânea: tautômero e deaminação	tautômero deaminação|tautomer deamination spontaneous mutation
1.5	Fidelidade da replicação e proofreading (exonuclease)	proofreading fidelidade|proofreading exonuclease DNA polymerase fidelity
1.6	Mutágenos químicos: análogos de base (5-bromouracil)	análogo de base|base analog 5-bromouracil mutagen
1.7	UV e dímero de pirimidina (timina)	dímero de pirimidina|pyrimidine dimer thymine UV radiation
# PARTE II — Reparo: desfazer o erro antes que fixe
2.1	Reparo direto: fotoliase/fotorreativação	fotoliase fotorreativação|photolyase photoreactivation direct repair
2.2	Reparo direto: MGMT / O6-metilguanina (alquilação)	MGMT|MGMT O6-methylguanine alkyltransferase methylation
2.3	Reparo por excisão de nucleotídeo (NER, uvrABC, excinuclease)	NER excinuclease|nucleotide excision repair excinuclease uvrABC
2.4	Reparo de erros de pareamento (mismatch) e câncer colorretal hereditário	mismatch reparo|mismatch repair Lynch HNPCC MSH MLH
2.5	Xeroderma pigmentoso (falha de NER)	xeroderma pigmentoso|xeroderma pigmentosum
2.6	Resposta SOS: LexA e RecA	SOS LexA RecA|SOS response LexA RecA
# PARTE III — DNA móvel e recombinação
3.1	Plasmídeos, fator F e conjugação	plasmídeo conjugação|plasmid conjugation F factor
3.2	Transposons, transposase e sequência de inserção (IS)	transposon transposase|transposon transposase insertion sequence
3.3	Transferência de resistência a antibióticos	resistência antibióticos|antibiotic resistance transfer plasmid
3.4	Vírus/bacteriófago: ciclo lítico vs lisogênico, prófago	fago lítico lisogênico prófago|bacteriophage lytic lysogenic prophage lambda
3.5	Recombinação sítio-específica (lambda attB)	recombinação sítio-específica|site-specific recombination lambda integrase
