### Bootcamp/09_Lipid_Metabolism  [376]  <Bootcamp::Biochemistry::09_Lipid_Metabolism>
LcGDaz+DZW	What is the effect of hypoglycemia and starvation on growth hormone secretion ? [Increased]
Dt|#udG:P0	Glucocorticoids are a potent stimulator for [ gluconeogenesis ], thus they are essential for survival during [ fasting ]
llXc;kx5^9	Insulin increases glucose transport to [muscle] and [adipose] tissue by directing the insertion of the [ GLUT-4 ] transporter into the cell 
lj~/k$%(ZI	In adipose tissue, insulin stimulates [fat deposition (increased triglyceride synthesis)] and inhibits [lipolysis]
s|NBM`iWfU	What is the cause of metabolic acidosis in a patient with diabetes mellitus ? [Increased production of ketoacids]
HhW8?aDOIS	Glucagon acts on the [ liver ] (primarily) and [ adipose ] tissue
v/AF%??-&2	What is the effect of insulin on glucagon secretion ? [Decreased]
E26>dVWz|~	Glucagon causes [decreased] fatty acid synthesis and [increased] lipolysis , which shunts substrates towards gluconeogenesis
bh(o`.f^@k	What is the effect of glucagon on blood fatty acid and ketoacid concentration ? [Increased, due to increased lipolysis]
bzFL$bEtqn	Which nutrients (glucose, amino acids, fatty acids) stimulate release of somatostatins ? [All three :)]
OBb:wslm-H	One of the most feared complications of type 1 diabetes is [ diabetic ketoacidosis (DKA)]
Pt;uW!nD6Q	Diabetic ketoacidosis often arises with [ stress ] (e.g., infection)
qUqa}[Eo>g	In T1DM , increased [ lipolysis ] leads to an increase in free fatty acids , which the liver consumes to secrete [ ketone bodies ]
_K$vX1ah;	What are the two major ketone bodies produced in T1DM ? [β-hydroxybutyrate and acetoacetate]
C&t8Zy;v>X	Diabetic ketoacidosis is associated with a(n) [ fruity ] breath odor due to exhaled [ acetone ]
PGvovQ!j4B	What type of acidosis will a patient with diabetic ketoacidosis (DKA) experience? [High anion gap metabolic acidosis]
bqX]?MIW^B	Will a diabetic ketoacidosis patient present with hyper- or hypoglycemia ? [Hyperglycemia (usually < 600 mg/dL)]
LkAdm@Vmmx	Overall, the effects of glucagon are [catabolic]
Csr}`c9]<P	Overall, the effect of cortisol is [catabolic]
F9fi=6}I4g	When insulin acts on adipose tissue, it causes [ in ] creased triglyceride storage and [ de ] creased lipolysis
HLaV1Dw}W%	IV [ regular ] insulin is useful in management of [ diabetic ketoacidosis ] (type 1 DM complication)
s>oB%h0P`B	Which membrane-bound organelle is involved in the catabolism of very-long-chain fatty acids , branched-chain fatty acids , amino acids, and 
K;c,QDL@E4	One sign of hyperlipidemia is [ xanthomas ], which are plaques or nodules composed of [ lipid-laden histiocytes ] in [ skin ]
zG.bh*ypB`	When a xanthoma affects the eyelids, it is known as [ xanthelasma ]
B%rd5%RUE(	One sign of hyperlipidemia is [ tendinous xanthomas ], which are plaques or nodules composed of lipid-laden histiocytes in [ tendons (especi
H=%&|kl3sf	One sign of hyperlipidemia is [ corneal arcus ], which are lipid deposits in the cornea
z$wjl/1m~p	Corneal arcus (arcus senilis) is common in the [ elderly ], but appears earlier in life in patients with [ hypercholesterolemia ]
dBjtdK<dG^	After being absorbed from the GI tract, free cholesterol is packaged into a(n) [ chylomicron ] as cholesteryl ester
A/YO,byN.W	The main component of chylomicrons is [triglycerides]
Oo%eR@*Ti{	Which apolipoproteins do chylomicrons express on their surface? - [Apo B-48] - [Apo C-II] - [Apo E]
fAKe[5Vej8	Free fatty acids can be converted back to [triglycerides] and stored in adipose tissue
D@MFgkJpUc	The remnant receptor on the liver binds to [ ApoE ] of the chylomicron remnant , causing subsequent endocytosis
HsX:69$-T|	The first intermediate in cholesterol synthesis is [mevalonate] (from HMG-CoA)
CpGOR%0yB>	Cholesterol from the liver may be repackaged into the interior of [VLDLs]
D_OsoPWfP-	Depletion of triglycerides from VLDLs produces IDLs , which may undergo further removal of triglycerides via the enzyme [ hepatic triglyceri
O-eT]dk1;6	The main component of LDL is a core of [cholesteryl esters]
KD6HXBQ6vi	[ LDLs ] are the main source of cholesterol delivery to peripheral tissues in the body
v([Xf/;X;y	The LDL receptor on the liver binds to [ ApoB-100 ] of the LDL particle , causing subsequent endocytosis
hiTmg.|Q&3	[ Lecithin cholesterol acyltransferase (LCAT)] converts free cholesterol into cholesteryl esters for transport by HDL
hb^$J1D=M$	[ Mature ] HDL particles contain LCAT-generated cholesteryl esters
sF&)oNDR3~	HDL transfers cholesteryl esters to LDLs, IDLs, and VLDLs via [ cholesteryl ester transfer protein (CETP) ] to be transported back to the li
A)_-c<{th5	[ Statins ] exert their effects by inhibiting the enzyme [ HMG-CoA reductase ], thus decreasing cholesterol production
Jg!4oM:_LX	Statins indirectly cause [ increased ] LDL receptor expression on hepatocytes
vjm0.ej$Q+	[ Statins ] significantly reduce [ LDL ] levels (30 - 60% reductions)
O<,K*y.wR=	What effect do statins have on triglyceride levels? [Mild decrease]
NJXx0HWQ5x	What effect do statins have on HDL levels? [Mild increase]
iTzQb9K7w.	The first-line treatment for hypercholesterolemia (LDL) is with lifestyle modification and [statins]
g-)Y{j:CCP	[ Statins ] are the most effective lipid-lowering medications for preventing future cardiovascular events
tnvkzC:U)T	[ Statins ] are the only lipid-lowering drugs consistently proven to reduce risk of atherosclerotic heart disease
Re;X/}0@#w	Statin therapy may be used to reduce the risk of cardiovascular events and mortality in patients with [diabetes]
bUS~+D$Og)	Statins reduce risk of future vascular events in patients with a history of TIA or [stroke]
M#_KG(|9#,	Statins may be [teratogenic], therefore avoid during the first trimester of pregnancy
Nb5C|<{MVk	The most common side effect of statins is [myopathy], which occurs weeks to months after starting therapy
c1Pc#D$-cJ	Statins can cause elevations in serum [ creatine kinase (CK)], which may indicate myopathy
Qkx{sf(t[[	Statins may cause mild [ hepato ] toxicity , and thus mild elevations in [ liver ] function tests
oWrRXC:%fy	All statins , except for [ pravastatin ], are metabolized by [ cytochrome p450 ]
v}%$<kF*zM	What drug class do cholestyramine , colestipol , and colesevelam belong to? [Bile acid resins]
xN8drM<5?2	Normally , 95% of bile acids in the ileum are recycled back to the liver through [ enterohepatic ] circulation
p%cxUpyfoe	[ Bile acid resins (e.g., cholestyramine)] bind bile acids in the intestinal lumen, preventing absorption and recycling to the liver
oDXK/-9Wct	Bile acid resins (e.g., cholestyramine) interrupt bile acid recycling and promote synthesis of new bile acids , depleting liver [cholesterol
KfRLk<fs}f	Bile acid resins (e.g., cholestyramine) indirectly [ increase ] HMG-CoA reductase activity and thus [ increase ] cholesterol synthesis by th
q]E^lRwRb	Bile acid resins indirectly cause [ increased ] LDL receptor expression
Qt7B9L_0XS	What effect do bile acid resins have on LDL levels? [Moderately decreased]
CD;qMn~7Kp	What effect do bile acid resins have on HDL levels? [Slightly increased]
NEq@IRvAB4	Bile acid resins are used in patients with primary [ hypercholesterolemia ], usually in conjunction with statins
iWW!G|7utL	What effect do bile acid resins have on serum triglyceride levels? [Slightly increased ]
I)b@?.(GP]	Bile acid resins frequently cause GI side effects , such as [constipation] and [bloating]
w9%Ky/bMb+	Bile acid resins can lead to [ steatorrhea ], which may impair the absorption of [ fat-soluble vitamins (A, D, E, K) ]
lQ:R{o|4O6	[ Bile acid resins ] are lipid-lowering agents that may decrease the absorption of [ statins ], thus these drugs should be given 4 hours apa
LZ0Ryhfc]~	[ Ezetimibe ] is a lipid-lowering agent that blocks absorption of [ cholesterol ] by inhibiting the [ NPC1L1 ] transporter at the small inte
MU0B*?*q@f	Ezetimibe restricts the liver's access to exogenous [cholesterol]
xyXMRayh1g	Ezetimibe indirectly [ increases ] HMG-CoA reductase activity and thus [ increases ] cholesterol synthesis by the liver
GZowIqz/?S	Ezetimibe indirectly causes [ increased ] LDL receptor expression
OAG&B2EO^`	What effect does ezetimibe have on LDL levels? [Moderately decreased]
Ny1)SpzzbN	What GI side effect is associated with ezetimibe ? [Diarrhea]
kC=2%6^b)$	Ezetimibe may cause increased [liver] function tests
b4Z_bZl.E5	Evolocumab and alirocumab are lipid-lowering agents that inhibit [PCSK9]
Qc40&a=%nI	[ PCSK9 ] is a protease produced by the liver that leads to degradation of [ hepatocyte ] [ LDL ] receptors
nOb<r7P%A.	Evolocumab binds PCSK9 and [ prevents ] degradation of hepatic LDL receptors
lyGD},k[YU	What drug class do gemfibrozil and fenofibrate belong to? [Fibrates]
tvMY*xV4H(	[ Fibrates ] upregulate the enzyme [ lipoprotein lipase (LPL)] by activating [ PPAR-α ]
e%&)5h!Q*P	Fibrates significantly decrease serum [ triglycerides ] by increasing their [ hydrolysis ] in VLDLs and chylomicrons
ksyK#2l!g	One way fibrates decrease serum triglycerides is by decreasing hepatic [VLDL] secretion
fn;D+yPeQg	Fibrates lead to [ mild decreases ] in serum LDL by reducing VLDL
jOs<Q4oDQ<	What effect do fibrates have on HDL levels? [Mildly increased HDL]
Hs&3>W_&vM	Fibrates may cause [ myopathy ] as an adverse effect , especially when combined with [ statins ]
Jk!ED8w>Xn	Fibrates increase risk of [cholesterol gallstones] and should be used with caution in patients with biliary tract disease
JK?%*|meS}	[ Niacin (vitamin B 3 ) ] is the most effective drug for increasing serum [ HDL ]
ITC7W2/T55	[ Fibrates ] are the most effective drugs for decreasing serum [ triglycerides ]
l([]omCf&*	Niacin ( vitamin B 3 ) [mildly] decreases serum triglycerides by decreasing hepatic [VLDL] secretion
eXpsf4QMMm	Niacin leads to [ moderately decreased ] serum LDL by reducing [VLDL] synthesis
c5evb=$T64	A common adverse effect associated with niacin toxicity is cutaneous [ flushing ] and [ warmth ] due to increased [prostaglandin] activity
jy?FND=:@k	Flushing and warmth , secondary to niacin use, may be prevented with [NSAIDs]
M^r0nr6]Y4	Niacin (B 3 ) can cause elevated [ liver ] function tests with severe [ hepato ] toxicity
kK:P?y_:bX	[ Fish oil ], a supplement high in [ omega-3 fatty ] acids , may be used to lower serum [ triglyceride ] levels
s[e#8`]*/]	Fibrates mildly increase the synthesis of [HDL] via upregulation of PPAR-α
xrJC*G1Pg%	Anaerobic glycolysis produces a net of [2] ATP per glucose molecule
M?qucuV[[Q	Anaerobic glycolysis produces a net of [0] NADH per glucose molecule
dqES,YG16W	Conversion of pyruvate into acetyl-CoA releases a molecule of [ CO 2 ] and [ NADH ]
z}m`8omgqG	[ Acetyl-CoA ] is combined with [ oxaloacetate ] via the enzyme [ citrate synthase ], forming [ citrate ]
t%aP)}PyLT	In total, the TCA cycle produces [1] FADH 2 per acetyl-CoA
gqu>%iL*@U	In total, the TCA cycle produces [1] GTP per acetyl-CoA
k8tN.(20fP	Where in the cell does acetyl-CoA production (from pyruvate) take place? [Mitochondria]
DI65{])wR*	Pyruvate carboxylase is regulated via positive feedback by [acetyl-CoA]
itMJ4SG6z}	Where does the energy to power gluconeogenesis come from in a starvation state? [β-oxidation of fatty acids]
srl`ksuzEc	What non-volatile acids are commonly elevated in type 1 diabetes ? [Acetoacetic acid and β-hydroxybutyric acid (ketoacidosis)]
jc#~ruu=>K	If the "lost" HCO 3 - in metabolic acidosis is replaced by [ unmeasured anions ], the anion gap is [ increased ]
kD4h(2?{>4	One function of the [ HMP ] shunt is to provide a source of [ NADPH ], which is required for [ reductive ] reactions
Iyy]|!MP+X	In the [liver], the HMP shunt provides a source of NADPH for biosynthesis of fatty acids , cholesterol , and steroids
q0u$jKaxq/	What is the rate-limiting enzyme of fatty acid synthesis ? [Acetyl-CoA carboxylase]
EehWy>iqbJ	Acetyl-CoA carboxylase is inhibited by [ glucagon ] and [ palmitoyl-CoA ]
xF6vJC<tQ!	Acetyl-CoA carboxylase is regulated via positive feedback by [ insulin ] and [ citrate ]
E{S{p/R;(&	Where in the cell does fatty acid synthesis occur? [Cytoplasm]
boQAggxq7j	Fatty acid synthesis requires [ acetyl-CoA ], which is provided directly from [ citrate ]
xPE~:zK#N*	Fatty acid synthesis requires [ NADPH ], which is provided by the [ HMP shunt ] and [ malic ] enzyme
