# checklist-alvo semeada da E1 + curada (conceitos centrais + termos EN)
# formato: <id>\t<frase-alvo>\t<termo_pt|termo_en>
# PARTE I — As células e a arquitetura do tecido linfoide
1.1	linfócito B vira plasmócito e secreta anticorpo	linfócito B|B lymphocyte plasma cell antibody
1.2	linfócito T citotóxico, helper e regulador	T lymphocyte|cytotoxic helper regulatory T cell
1.3	linfócito NK — imunidade inata	NK|natural killer cell
1.4	macrófago e célula apresentadora de antígeno	macrófago|macrophage antigen presenting cell
1.5	célula reticular e fibra reticular (colágeno III)	célula reticular|reticular cell reticular fiber
1.6	histiócito — macrófago fixo	histiócito|histiocyte fixed macrophage
1.7	nódulo linfático e centro germinativo (B)	centro germinativo|lymphoid follicle germinal center
1.8	tecido linfoide difuso e MALT / placas de Peyer	MALT|mucosa associated lymphoid tissue Peyer patch
# PARTE II — Órgãos linfoides primários
2.1	timo: córtex e medula, lóbulos	timo|thymus cortex medulla
2.2	célula reticular epitelial (estroma do timo)	célula reticular epitelial|thymic epithelial epithelioreticular cell
2.3	timócito — linfócito T em maturação	timócito|thymocyte
2.4	barreira hematotímica (só no córtex)	barreira hematotímica|blood thymus barrier
2.5	corpúsculo de Hassall (medula do timo)	corpúsculo de Hassall|Hassall corpuscle thymic corpuscle
2.6	involução do timo com a idade	involução do timo|thymic involution
2.7	medula óssea — maturação do linfócito B	medula óssea|bone marrow B cell maturation
# PARTE III — Órgãos linfoides secundários
3.1	linfonodo filtra a linfa; aferente/eferente	linfonodo|lymph node afferent efferent
3.2	seio subcapsular (assinatura do linfonodo)	seio subcapsular|subcapsular sinus
3.3	paracórtex — área timo-dependente (T)	paracórtex|paracortex T cell zone
3.4	vênula de endotélio alto (entrada de linfócitos)	vênula de endotélio alto|high endothelial venule
3.5	cordões medulares (plasmócitos)	cordões medulares|medullary cords
3.6	baço filtra o sangue; polpa branca e vermelha	baço|spleen white pulp red pulp
3.7	PALS — bainha periarteriolar (T) e artéria central	PALS|periarteriolar lymphoid sheath central artery
3.8	cordões de Billroth e sinusóide esplênico	cordões de Billroth|splenic cords sinusoid
3.9	esplenectomia e bactérias encapsuladas	asplenia|asplenia encapsulated bacteria
